	Chr	ORF	TSS	Strand	TTS	+1 nucleosome
0	chrI	YAL068C	2169	-	1665	2386
1	chrI	YAL067C	9191	-	7058	9172
2	chrI	YAL064W	21566	+	22160	21260
3	chrI	YAL063C	28211	-	23927	28520
4	chrI	YAL062W	31188	+	33011	31158
5	chrI	YAL060W	35107	+	36387	35244
6	chrI	YAL059W	36559	+	37344	36587
7	chrI	YAL058W	37449	+	39011	37446
8	chrI	YAL056W	39215	+	41980	39270
9	chrI	YAL055W	42191	+	42790	42218
10	chrI	YAL054C	45022	-	42718	45167
11	chrI	YAL053W	45744	+	48310	45802
12	chrI	YAL051W	48564	+	51856	48587
13	chrI	YAL049C	52661	-	51719	52601
14	chrI	YAL048C	54825	-	52616	54739
15	chrI	YAL047C	56857	-	54937	56816
16	chrI	YAL046C	57383	-	56911	57348
17	chrI	YAL044C	58476	-	57868	58436
18	chrI	YAL043C	61076	-	58626	61038
19	chrI	YAL042W	61274	+	62654	61336
20	chrI	YAL041W	62776	+	65463	62814
21	chrI	YAL040C	67844	-	65601	67839
22	chrI	YAL039C	69581	-	68654	69521
23	chrI	YAL038W	71759	+	73452	71842
24	chrI	YAL036C	76189	-	74850	76159
25	chrI	YAL035W	76401	+	79555	76449
26	chrI	YAL034W-A	79689	+	80675	79736
27	chrI	YAL034C	81951	-	80563	81980
28	chrI	YAL033W	82701	+	83299	82763
29	chrI	YAL032C	84494	-	83204	84453
30	chrI	YAL031C	87078	-	84595	87041
31	chrI	YAL030W	87264	+	87862	87312
32	chrI	YAL029C	92522	-	87695	92471
33	chrI	YAL028W	92854	+	94606	92904
34	chrI	YAL027W	94607	+	95578	94687
35	chrI	YAL026C	99783	-	95482	99739
36	chrI	YAL025C	101168	-	100022	101143
37	chrI	YAL024C	105976	-	101371	105922
38	chrI	YAL023C	108639	-	106143	108612
39	chrI	YAL022C	110446	-	108835	110395
40	chrI	YAL021C	113403	-	110616	113356
41	chrI	YAL020C	114630	-	113537	114573
42	chrI	YAL019W	114809	+	118386	114863
43	chrI	YAL017W	119858	+	124459	119925
44	chrI	YAL016W	124798	+	126875	124840
45	chrI	YAL015C	128102	-	126896	128041
46	chrI	YAL014C	129067	-	128091	129018
47	chrI	YAL013W	129236	+	130583	129294
48	chrI	YAL012W	130744	+	132082	130757
49	chrI	YAL011W	132195	+	134178	132222
50	chrI	YAL010C	135706	-	134136	135641
