	Chr	ORF	TSS	Strand	TTS	+2 nucleosome
0	chrI	YAL068C	2169	-	1665	2226
1	chrI	YAL067C	9191	-	7058	9001
2	chrI	YAL064W	21566	+	22160	21408
3	chrI	YAL063C	28211	-	23927	28350
4	chrI	YAL062W	31188	+	33011	31321
5	chrI	YAL060W	35107	+	36387	35407
6	chrI	YAL059W	36559	+	37344	36774
7	chrI	YAL058W	37449	+	39011	37616
8	chrI	YAL056W	39215	+	41980	39431
9	chrI	YAL055W	42191	+	42790	42389
10	chrI	YAL054C	45022	-	42718	44984
11	chrI	YAL053W	45744	+	48310	45985
12	chrI	YAL051W	48564	+	51856	48777
13	chrI	YAL049C	52661	-	51719	52430
14	chrI	YAL048C	54825	-	52616	54559
15	chrI	YAL047C	56857	-	54937	56647
16	chrI	YAL046C	57383	-	56911	57186
17	chrI	YAL044C	58476	-	57868	58273
18	chrI	YAL043C	61076	-	58626	60855
19	chrI	YAL042W	61274	+	62654	61508
20	chrI	YAL041W	62776	+	65463	62974
21	chrI	YAL040C	67844	-	65601	67664
22	chrI	YAL039C	69581	-	68654	69367
23	chrI	YAL038W	71759	+	73452	72014
24	chrI	YAL036C	76189	-	74850	75996
25	chrI	YAL035W	76401	+	79555	76610
26	chrI	YAL034W-A	79689	+	80675	79885
27	chrI	YAL034C	81951	-	80563	81838
28	chrI	YAL033W	82701	+	83299	82915
29	chrI	YAL032C	84494	-	83204	84289
30	chrI	YAL031C	87078	-	84595	86857
31	chrI	YAL030W	87264	+	87862	87485
32	chrI	YAL029C	92522	-	87695	92297
33	chrI	YAL028W	92854	+	94606	93079
34	chrI	YAL027W	94607	+	95578	94834
35	chrI	YAL026C	99783	-	95482	99575
36	chrI	YAL025C	101168	-	100022	100976
37	chrI	YAL024C	105976	-	101371	105762
38	chrI	YAL023C	108639	-	106143	108426
39	chrI	YAL022C	110446	-	108835	110244
40	chrI	YAL021C	113403	-	110616	113205
41	chrI	YAL020C	114630	-	113537	114415
42	chrI	YAL019W	114809	+	118386	115025
43	chrI	YAL017W	119858	+	124459	120069
44	chrI	YAL016W	124798	+	126875	125001
45	chrI	YAL015C	128102	-	126896	127899
46	chrI	YAL014C	129067	-	128091	128872
47	chrI	YAL013W	129236	+	130583	129461
48	chrI	YAL012W	130744	+	132082	130945
49	chrI	YAL011W	132195	+	134178	132395
50	chrI	YAL010C	135706	-	134136	135490
51	chrI	YAL009W	135813	+	136780	136046
52	chrI	YAL008W	136866	+	137637	137076
53	chrI	YAL007C	138420	-	137522	138217
54	chrI	YAL005C	141493	-	139357	141355
55	chrI	YAL003W	142153	+	143368	142368
