#Id	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	Alias	dbxref	Type	Qualifier	GO	Desc
YAL069W	chrI	+	#N/A	#N/A	335	649	1	335	649	314	#N/A	#N/A	#N/A	#N/A	Dubious
YAL068W-A	chrI	+	#N/A	#N/A	538	792	1	538	792	254	#N/A	#N/A	#N/A	#N/A	Dubious
YAL068C	chrI	-	#N/A	#N/A	1807	2169	1	1807	2169	362	#N/A	#N/A	#N/A	#N/A	Verified
YAL067W-A	chrI	+	#N/A	#N/A	2480	2707	1	2480	2707	227	#N/A	#N/A	#N/A	#N/A	Uncharacterized
YAL067C	chrI	-	7013	9049	7235	9016	1	7235	9016	1781	#N/A	#N/A	#N/A	#N/A	Verified
YAL066W	chrI	+	9807	10460	10091	10399	1	10091	10399	308	#N/A	#N/A	#N/A	#N/A	Dubious
YAL065C	chrI	-	#N/A	#N/A	11565	11951	1	11565	11951	386	#N/A	#N/A	#N/A	#N/A	Uncharacterized
YAL064W-B	chrI	+	11313	15151	12046	12426	1	12046	12426	380	#N/A	#N/A	#N/A	#N/A	Uncharacterized
YAL064C-A	chrI	-	12951	14690	13363	13743	1	13363	13743	380	#N/A	#N/A	#N/A	#N/A	Uncharacterized
YAL064W	chrI	+	#N/A	#N/A	21566	21850	1	21566	21850	284	#N/A	#N/A	#N/A	#N/A	Verified
YAL063C-A	chrI	-	22051	23043	22395	22685	1	22395	22685	290	#N/A	#N/A	#N/A	#N/A	Uncharacterized
YAL063C	chrI	-	#N/A	#N/A	24000	27968	1	24000	27968	3968	#N/A	#N/A	#N/A	#N/A	Verified
YAL062W	chrI	+	31532	33028	31567	32940	1	31567	32940	1373	#N/A	#N/A	#N/A	#N/A	Verified
YAL061W	chrI	+	33404	34916	33448	34701	1	33448	34701	1253	#N/A	#N/A	#N/A	#N/A	Uncharacterized
YAL060W	chrI	+	35107	36387	35155	36303	1	35155	36303	1148	TATA-containing	TAF1-depleted	35035	35011	Verified
YAL059C-A	chrI	-	#N/A	#N/A	36496	36918	1	36496	36918	422	#N/A	#N/A	#N/A	#N/A	Dubious
YAL059W	chrI	+	36466	37344	36509	37147	1	36509	37147	638	#N/A	#N/A	#N/A	#N/A	Verified
YAL058W	chrI	+	37405	39163	37464	38972	1	37464	38972	1508	TATA-less	TAF1-enriched	37368	37332	Verified
YAL056C-A	chrI	-	#N/A	#N/A	38696	39046	1	38696	39046	350	#N/A	#N/A	#N/A	#N/A	Dubious
YAL056W	chrI	+	39234	42040	39259	41901	1	39259	41901	2642	TATA-less	TAF1-enriched	39187	39173	Verified
YAL055W	chrI	+	42170	42838	42177	42719	1	42177	42719	542	#N/A	#N/A	#N/A	#N/A	Verified
YAL054C	chrI	-	42713	45073	42881	45022	1	42881	45022	2141	#N/A	#N/A	#N/A	#N/A	Verified
